ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,PERCENTILE.D50,GEOMETRIC.MEAN,MODES.MODES_NAME
CH230710,AT,0.1,0,1,1,718.4315,632.6698,trimodal
CH230802,AT,0.1,0,2,1,1175.7884,981.6171,bimodal
CH230907,AT,0.1,0,3,1,811.5511,728.2943,multimodal
CH230710,AT,1,0,1,1,718.4315,632.6698,trimodal
CH230802,AT,1,0,2,1,1175.7884,981.6171,bimodal
CH230907,AT,1,0,3,1,811.5511,728.2943,multimodal
CH230710,AT,10,0,1,1,718.4315,632.6698,trimodal
CH230802,AT,10,0,2,1,1175.7884,981.6171,bimodal
CH230907,AT,10,0,3,1,811.5511,728.2943,multimodal
CH230710,AT,100,0,1,1,718.4315,632.6698,trimodal
CH230802,AT,100,0,2,1,1175.7884,981.6171,bimodal
CH230907,AT,100,0,3,1,811.5511,728.2943,multimodal
CH230710,AT,Control,0,1,1,718.4315,632.6698,trimodal
CH230802,AT,Control,0,2,1,1175.7884,981.6171,bimodal
CH230907,AT,Control,0,3,1,811.5511,728.2943,multimodal
CH230710,AT,0.1,12,1,1,678.4714,572.1094,trimodal
CH230802,AT,0.1,12,2,1,978.2133,787.0284,bimodal
CH230907,AT,0.1,12,3,1,706.6275,637.2205,bimodal
CH230710,AT,1,12,1,1,622.4758,533.2032,unimodal
CH230802,AT,1,12,2,1,655.7709,570.5558,unimodal
CH230907,AT,1,12,3,1,918.1816,808.3023,bimodal
CH230710,AT,10,12,1,1,483.1374,409.7452,unimodal
CH230802,AT,10,12,2,1,1076.1077,913.7401,trimodal
CH230907,AT,10,12,3,1,780.4377,692.8274,bimodal
CH230710,AT,100,12,1,1,539.4692,476.3097,bimodal
CH230802,AT,100,12,2,1,1067.2164,880.6534,multimodal
CH230907,AT,100,12,3,1,502.9894,423.7011,unimodal
CH230710,AT,Control,12,1,1,574.7015,491.3282,bimodal
CH230802,AT,Control,12,2,1,1145.753,954.4017,trimodal
CH230907,AT,Control,12,3,1,909.1248,814.0199,bimodal
CH230710,AT,0.1,24,1,1,735.8787,604.3686,bimodal
CH230802,AT,0.1,24,2,1,479.3309,430.4116,unimodal
CH230907,AT,0.1,24,3,1,558.9379,502.437,unimodal
CH230710,AT,1,24,1,1,413.0709,355.2165,unimodal
CH230802,AT,1,24,2,1,309.266,270.4914,unimodal
CH230907,AT,1,24,3,1,869.3238,757.8593,trimodal
CH230710,AT,10,24,1,1,284.7222,232.5313,unimodal
CH230802,AT,10,24,2,1,421.3794,373.8945,unimodal
CH230907,AT,10,24,3,1,584.9939,510.361,bimodal
CH230710,AT,100,24,1,1,420.827,365.6535,bimodal
CH230802,AT,100,24,2,1,964.0637,783.305,trimodal
CH230907,AT,100,24,3,1,241.6109,186.7986,unimodal
CH230710,AT,Control,24,1,1,408.3045,358.7705,unimodal
CH230802,AT,Control,24,2,1,1116.8612,933.2703,bimodal
CH230907,AT,Control,24,3,1,874.4984,786.3854,unimodal
CH230710,AT,0.1,48,1,1,700.193,584.4116,unimodal
CH230802,AT,0.1,48,2,1,420.529,378.8053,unimodal
CH230907,AT,0.1,48,3,1,384.0354,328.5719,unimodal
CH230710,AT,1,48,1,1,415.766,359.948,unimodal
CH230802,AT,1,48,2,1,288.1415,251.4858,unimodal
CH230907,AT,1,48,3,1,602.3207,500.9419,bimodal
CH230710,AT,10,48,1,1,213.03,173.2326,unimodal
CH230802,AT,10,48,2,1,423.0811,376.5897,unimodal
CH230907,AT,10,48,3,1,323.7706,272.1331,unimodal
CH230710,AT,100,48,1,1,269.9574,203.8733,bimodal
CH230802,AT,100,48,2,1,800.1074,634.9762,multimodal
CH230907,AT,100,48,3,1,162.4298,133.4414,trimodal
CH230710,AT,Control,48,1,1,315.3886,276.3361,unimodal
CH230802,AT,Control,48,2,1,715.7991,604.4882,unimodal
CH230907,AT,Control,48,3,1,843.6471,753.4882,bimodal
CH240116,BM,AMC,0,1,1,428.7627,363.0781,unimodal
CH240115,BM,AMC,0,2,1,444.6326,372.1252,unimodal
CH240114,BM,AMC,0,3,1,492.8359,407.2725,unimodal
CH240116,BM,CoA,0,1,1,428.7627,363.0781,unimodal
CH240115,BM,CoA,0,2,1,444.6326,372.1252,unimodal
CH240114,BM,CoA,0,3,1,492.8359,407.2725,unimodal
CH240116,BM,CoC,0,1,1,3.2789,3.8227,bimodal
CH240115,BM,CoC,0,2,1,3.8472,5.4091,trimodal
CH240114,BM,CoC,0,3,1,3.7105,5.5608,multimodal
CH240116,BM,EPS,0,1,1,3.2789,3.8227,bimodal
CH240115,BM,EPS,0,2,1,3.8472,5.4091,trimodal
CH240114,BM,EPS,0,3,1,3.7105,5.5608,multimodal
CH240116,BM,AMC,12,1,1,336.0764,297.7887,unimodal
CH240115,BM,AMC,12,2,1,387.7888,341.3982,bimodal
CH240114,BM,AMC,12,3,1,350.8606,303.5697,bimodal
CH240116,BM,CoA,12,1,1,311.8961,275.4922,unimodal
CH240115,BM,CoA,12,2,1,348.6358,305.663,unimodal
CH240114,BM,CoA,12,3,1,368.3467,329.3412,unimodal
CH240116,BM,AMC,24,1,1,342.5095,306.4738,unimodal
CH240115,BM,AMC,24,2,1,370.3971,326.2085,unimodal
CH240114,BM,AMC,24,3,1,328.5136,289.7142,unimodal
CH240116,BM,CoA,24,1,1,272.8101,241.5165,unimodal
CH240115,BM,CoA,24,2,1,427.7914,372.0063,unimodal
CH240114,BM,CoA,24,3,1,333.026,297.605,unimodal
CH240116,BM,CoC,24,1,1,3.5843,4.6383,multimodal
CH240115,BM,CoC,24,2,1,3.8463,5.292,trimodal
CH240114,BM,CoC,24,3,1,4.0601,6.3362,trimodal
CH240116,BM,EPS,24,1,1,138.847,118.2459,multimodal
CH240115,BM,EPS,24,2,1,109.3272,85.1921,trimodal
CH240114,BM,EPS,24,3,1,108.4878,91.3532,bimodal
CH240116,BM,AMC,48,1,1,236.1827,208.139,unimodal
CH240115,BM,AMC,48,2,1,333.8516,294.999,unimodal
CH240114,BM,AMC,48,3,1,294.5324,257.8088,unimodal
CH240116,BM,CoA,48,1,1,232.1009,207.1215,unimodal
CH240115,BM,CoA,48,2,1,384.9045,341.3836,unimodal
CH240114,BM,CoA,48,3,1,220.3148,202.1054,unimodal
CH240116,BM,CoC,48,1,1,3.8962,4.9467,bimodal
CH240115,BM,CoC,48,2,1,4.4756,6.9861,multimodal
CH240114,BM,CoC,48,3,1,4.2529,6.8253,trimodal
CH240116,BM,EPS,48,1,1,109.1473,95.751,multimodal
CH240115,BM,EPS,48,2,1,80.8143,64.9427,trimodal
CH240114,BM,EPS,48,3,1,150.2777,130.2884,multimodal
CH230921,CC,FEMAK,0,1,1,57.8986,49.1241,bimodal
CH230921,CC,FEMAK,0,2,1,59.2928,50.4268,bimodal
CH230921,CC,FEMAK,0,3,1,53.5098,45.934,bimodal
CH230921,CC,FEMAK,0,4,1,53.2317,45.8167,bimodal
CH230921,CC,FEMAK,0,5,1,58.1194,49.65,bimodal
CH230921,CC,OECD,0,1,1,1014.024,855.4428,unimodal
CH230921,CC,OECD,0,2,1,976.4396,829.2851,bimodal
CH230921,CC,OECD,0,3,1,882.9209,757.7648,bimodal
CH230921,CC,OECD,0,4,1,983.3785,827.7604,trimodal
CH230921,CC,OECD,0,5,1,984.1826,870.1811,multimodal
CH230921,CC,RueBio,0,1,1,166.8385,156.0557,multimodal
CH230921,CC,RueBio,0,2,1,158.5236,148.3203,bimodal
CH230921,CC,RueBio,0,3,1,160.8485,150.6783,trimodal
CH230921,CC,RueBio,0,4,1,161.73,152.666,bimodal
CH230921,CC,RueBio,0,5,1,162.1404,153.6631,trimodal
CH230724,LT,100,0,1,1,1146.0635,996.0237,unimodal
CH230807,LT,100,0,2,1,1099.6294,894.7068,trimodal
CH230914,LT,100,0,3,1,919.7489,769.6289,bimodal
CH230724,LT,25,0,1,1,1146.0635,996.0237,unimodal
CH230807,LT,25,0,2,1,1099.6294,894.7068,trimodal
CH230914,LT,25,0,3,1,919.7489,769.6289,bimodal
CH230724,LT,50,0,1,1,1146.0635,996.0237,unimodal
CH230807,LT,50,0,2,1,1099.6294,894.7068,trimodal
CH230914,LT,50,0,3,1,919.7489,769.6289,bimodal
CH230724,LT,70,0,1,1,1146.0635,996.0237,unimodal
CH230807,LT,70,0,2,1,1099.6294,894.7068,trimodal
CH230914,LT,70,0,3,1,919.7489,769.6289,bimodal
CH230724,LT,Control,0,1,1,1146.0635,996.0237,unimodal
CH230807,LT,Control,0,2,1,1099.6294,894.7068,trimodal
CH230914,LT,Control,0,3,1,919.7489,769.6289,bimodal
CH230724,LT,100,12,1,1,968.5277,804.3905,bimodal
CH230807,LT,100,12,2,1,551.1899,507.41,bimodal
CH230914,LT,100,12,3,1,885.9547,736.5984,unimodal
CH230724,LT,25,12,1,1,585.3351,507.7119,bimodal
CH230807,LT,25,12,2,1,730.9197,638.6896,trimodal
CH230914,LT,25,12,3,1,755.8805,647.0777,bimodal
CH230724,LT,50,12,1,1,1116.9813,955.2494,unimodal
CH230807,LT,50,12,2,1,846.5114,732.0598,multimodal
CH230914,LT,50,12,3,1,963.035,805.2679,bimodal
CH230724,LT,70,12,1,1,1090.8359,928.1934,unimodal
CH230807,LT,70,12,2,1,611.4443,539.8605,unimodal
CH230914,LT,70,12,3,1,873.2996,728.7715,unimodal
CH230724,LT,Control,12,1,1,1056.7433,902.4449,unimodal
CH230807,LT,Control,12,2,1,1040.3929,856.5583,bimodal
CH230914,LT,Control,12,3,1,647.0203,550.7096,unimodal
CH230724,LT,100,24,1,1,575.5562,495.9628,bimodal
CH230807,LT,100,24,2,1,440.6902,398.4832,unimodal
CH230914,LT,100,24,3,1,718.9682,597.141,unimodal
CH230724,LT,25,24,1,1,402.3303,352.3917,unimodal
CH230807,LT,25,24,2,1,707.856,618.2587,bimodal
CH230914,LT,25,24,3,1,393.5523,342.5601,unimodal
CH230724,LT,50,24,1,1,911.4689,752.8697,bimodal
CH230807,LT,50,24,2,1,509.1579,451.249,unimodal
CH230914,LT,50,24,3,1,773.7041,629.3558,bimodal
CH230724,LT,70,24,1,1,622.2269,531.9462,bimodal
CH230807,LT,70,24,2,1,516.9036,458.7548,unimodal
CH230914,LT,70,24,3,1,673.7893,574.4765,unimodal
CH230724,LT,Control,24,1,1,971.9518,802.296,trimodal
CH230807,LT,Control,24,2,1,997.9332,819.0366,bimodal
CH230914,LT,Control,24,3,1,548.3859,465.5094,bimodal
CH230724,LT,100,48,1,1,371.8108,322.921,unimodal
CH230807,LT,100,48,2,1,391.1459,346.7512,unimodal
CH230914,LT,100,48,3,1,577.275,494.7694,unimodal
CH230724,LT,25,48,1,1,259.9205,222.2792,unimodal
CH230807,LT,25,48,2,1,674.051,578.5589,bimodal
CH230914,LT,25,48,3,1,459.8655,401.5068,unimodal
CH230724,LT,50,48,1,1,741.5324,610.5733,bimodal
CH230807,LT,50,48,2,1,396.9485,352.2616,unimodal
CH230914,LT,50,48,3,1,532.4062,460.2984,unimodal
CH230724,LT,70,48,1,1,326.4866,279.7371,unimodal
CH230807,LT,70,48,2,1,552.5659,478.8452,unimodal
CH230914,LT,70,48,3,1,482.6366,393.6828,unimodal
CH230724,LT,Control,48,1,1,846.0923,668.4185,unimodal
CH230807,LT,Control,48,2,1,949.6893,787.0847,unimodal
CH230914,LT,Control,48,3,1,416.6465,357.6699,unimodal
CH230709,PT,12,0,1,1,718.4315,632.6698,trimodal
CH230801,PT,12,0,2,1,1175.7884,981.6171,bimodal
CH230906,PT,12,0,3,1,811.5511,728.2943,multimodal
CH230709,PT,3,0,1,1,718.4315,632.6698,trimodal
CH230801,PT,3,0,2,1,1175.7884,981.6171,bimodal
CH230906,PT,3,0,3,1,811.5511,728.2943,multimodal
CH230709,PT,6,0,1,1,718.4315,632.6698,trimodal
CH230801,PT,6,0,2,1,1175.7884,981.6171,bimodal
CH230906,PT,6,0,3,1,811.5511,728.2943,multimodal
CH230709,PT,9,0,1,1,718.4315,632.6698,trimodal
CH230801,PT,9,0,2,1,1175.7884,981.6171,bimodal
CH230906,PT,9,0,3,1,811.5511,728.2943,multimodal
CH230709,PT,Control,0,1,1,718.4315,632.6698,trimodal
CH230801,PT,Control,0,2,1,1175.7884,981.6171,bimodal
CH230906,PT,Control,0,3,1,811.5511,728.2943,multimodal
CH230709,PT,12,12,1,1,668.3025,560.3003,multimodal
CH230801,PT,12,12,2,1,1107.4108,903.4917,bimodal
CH230906,PT,12,12,3,1,456.3481,389.7318,unimodal
CH230709,PT,3,12,1,1,592.3712,510.5386,unimodal
CH230801,PT,3,12,2,1,879.4867,732.3782,multimodal
CH230906,PT,3,12,3,1,801.3341,712.4728,trimodal
CH230709,PT,6,12,1,1,377.3992,326.0493,unimodal
CH230801,PT,6,12,2,1,1044.5839,850.7864,bimodal
CH230906,PT,6,12,3,1,828.2034,720.5792,bimodal
CH230709,PT,9,12,1,1,475.2367,412.5523,unimodal
CH230801,PT,9,12,2,1,948.704,770.7096,unimodal
CH230906,PT,9,12,3,1,685.2636,592.8495,unimodal
CH230709,PT,Control,12,1,1,621.5773,513.7879,unimodal
CH230801,PT,Control,12,2,1,1008.2777,822.467,unimodal
CH230906,PT,Control,12,3,1,649.4223,551.2152,bimodal
CH230709,PT,12,24,1,1,558.0246,475.0216,bimodal
CH230801,PT,12,24,2,1,1022.7923,833.8855,bimodal
CH230906,PT,12,24,3,1,351.2378,291.8746,unimodal
CH230709,PT,3,24,1,1,248.4276,223.7779,unimodal
CH230801,PT,3,24,2,1,382.0138,347.7592,unimodal
CH230906,PT,3,24,3,1,774.6757,680.9298,bimodal
CH230709,PT,6,24,1,1,273.9441,231.2393,unimodal
CH230801,PT,6,24,2,1,1023.3036,820.5627,trimodal
CH230906,PT,6,24,3,1,786.9227,684.0438,trimodal
CH230709,PT,9,24,1,1,255.0239,214.3577,unimodal
CH230801,PT,9,24,2,1,617.4498,538.8413,bimodal
CH230906,PT,9,24,3,1,518.4186,450.1058,unimodal
CH230709,PT,Control,24,1,1,564.2803,457.2897,unimodal
CH230801,PT,Control,24,2,1,975.3983,800.6002,unimodal
CH230906,PT,Control,24,3,1,579.5567,492.7946,bimodal
CH230709,PT,12,48,1,1,269.4661,223.8642,unimodal
CH230801,PT,12,48,2,1,493.3078,415.9963,unimodal
CH230906,PT,12,48,3,1,240.8782,190.14,unimodal
CH230709,PT,3,48,1,1,173.4658,150.1694,unimodal
CH230801,PT,3,48,2,1,284.1223,245.2924,bimodal
CH230906,PT,3,48,3,1,769.7598,684.8172,trimodal
CH230709,PT,6,48,1,1,261.7144,225.419,unimodal
CH230801,PT,6,48,2,1,793.681,653.1752,bimodal
CH230906,PT,6,48,3,1,446.7097,381.0347,unimodal
CH230709,PT,9,48,1,1,206.568,173.5357,unimodal
CH230801,PT,9,48,2,1,512.2532,448.1675,unimodal
CH230906,PT,9,48,3,1,382.9487,321.8082,unimodal
CH230709,PT,Control,48,1,1,511.2857,430.2253,unimodal
CH230801,PT,Control,48,2,1,678.1555,571.5045,unimodal
CH230906,PT,Control,48,3,1,539.6106,452.8361,unimodal
CH231216,RM,-EPS,0,1,1,104.2976,84.5699,unimodal
CH231215,RM,-EPS,0,2,1,17.3188,18.3401,multimodal
CH231214,RM,-EPS,0,3,1,45.5486,35.3061,bimodal
CH231216,RM,AT,0,1,1,104.2976,84.5699,unimodal
CH231215,RM,AT,0,2,1,17.3188,18.3401,multimodal
CH231214,RM,AT,0,3,1,45.5486,35.3061,bimodal
CH231216,RM,Control,0,1,1,420.3536,293.0122,bimodal
CH231215,RM,Control,0,2,1,491.5573,362.3986,unimodal
CH231214,RM,Control,0,3,1,532.6806,398.6053,unimodal
CH231216,RM,ET,0,1,1,104.2976,84.5699,unimodal
CH231215,RM,ET,0,2,1,17.3188,18.3401,multimodal
CH231214,RM,ET,0,3,1,45.5486,35.3061,bimodal
CH231216,RM,-EPS,12,1,1,71.8051,64.1937,trimodal
CH231215,RM,-EPS,12,2,1,55.8793,50.2287,bimodal
CH231214,RM,-EPS,12,3,1,81.3617,72.3095,trimodal
CH231216,RM,AT,12,1,1,27.4657,25.4476,trimodal
CH231215,RM,AT,12,2,1,53.6583,43.1349,multimodal
CH231214,RM,AT,12,3,1,39.6118,37.2818,trimodal
CH231216,RM,Control,12,1,1,262.9249,200.3235,bimodal
CH231215,RM,Control,12,2,1,425.2994,317.447,unimodal
CH231214,RM,Control,12,3,1,360.3,260.7262,unimodal
CH231216,RM,ET,12,1,1,20.2925,16.8644,trimodal
CH231215,RM,ET,12,2,1,29.2206,29.4197,multimodal
CH231214,RM,ET,12,3,1,22.0336,18.8201,trimodal
CH231216,RM,-EPS,24,1,1,95.7049,88.4359,trimodal
CH231215,RM,-EPS,24,2,1,59.6814,55.3258,bimodal
CH231214,RM,-EPS,24,3,1,116.5997,105.3945,unimodal
CH231216,RM,AT,24,1,1,26.6626,24.1557,bimodal
CH231215,RM,AT,24,2,1,30.1529,29.7336,multimodal
CH231214,RM,AT,24,3,1,38.6503,35.8121,trimodal
CH231216,RM,Control,24,1,1,304.9372,241.2158,unimodal
CH231215,RM,Control,24,2,1,418.895,314.7395,unimodal
CH231214,RM,Control,24,3,1,326.9831,262.5956,unimodal
CH231216,RM,ET,24,1,1,17.4456,13.8323,trimodal
CH231215,RM,ET,24,2,1,64.3787,34.1223,multimodal
CH231214,RM,ET,24,3,1,20.5192,16.9246,bimodal
CH231216,RM,-EPS,48,1,1,128.0797,116.1243,unimodal
CH231215,RM,-EPS,48,2,1,131.2294,109.5254,unimodal
CH231214,RM,-EPS,48,3,1,199.4567,180.918,unimodal
CH231216,RM,AT,48,1,1,33.1239,31.2848,multimodal
CH231215,RM,AT,48,2,1,66.8832,50.7206,multimodal
CH231214,RM,AT,48,3,1,48.5867,42.2964,trimodal
CH231216,RM,Control,48,1,1,155.3723,137.5348,unimodal
CH231215,RM,Control,48,2,1,261.7378,216.2544,unimodal
CH231214,RM,Control,48,3,1,226.9348,208.4023,unimodal
CH231216,RM,ET,48,1,1,22.4013,16.6086,trimodal
CH231215,RM,ET,48,2,1,32.901,27.9438,multimodal
CH231214,RM,ET,48,3,1,21.7287,17.298,trimodal
CH230130,SC,A.obliquus,0,1,1,3.7311,4.0291,multimodal
CH230130,SC,A.obliquus,0,2,1,3.767,4.0176,multimodal
CH230130,SC,A.obliquus,0,3,1,3.7815,4.126,multimodal
CH230130,SC,Algaemix,0,1,1,445.869,415.7782,multimodal
CH230130,SC,Algaemix,0,2,1,433.1973,396.7338,multimodal
CH230130,SC,Algaemix,0,3,1,459.4174,440.2609,multimodal
CH230130,SC,C.reinhardtii,0,1,1,20.5472,21.8184,multimodal
CH230130,SC,C.reinhardtii,0,2,1,18.6407,19.9497,multimodal
CH230130,SC,C.reinhardtii,0,3,1,11.9227,15.3214,multimodal
CH230130,SC,E.texensis,0,1,1,20.644,19.0296,multimodal
CH230130,SC,E.texensis,0,2,1,20.3925,19.2326,multimodal
CH230130,SC,E.texensis,0,3,1,18.5336,17.8728,multimodal
CH230130,SC,T.albertanoae,0,1,1,118.2506,93.8831,trimodal
CH230130,SC,T.albertanoae,0,2,1,110.2884,87.1005,multimodal
CH230130,SC,T.albertanoae,0,3,1,104.5772,85.8983,multimodal
CH230708,ST,0.75,0,1,1,718.4315,632.6698,trimodal
CH230800,ST,0.75,0,2,1,1175.7884,981.6171,bimodal
CH230905,ST,0.75,0,3,1,811.5511,728.2943,multimodal
CH230708,ST,1.5,0,1,1,718.4315,632.6698,trimodal
CH230800,ST,1.5,0,2,1,1175.7884,981.6171,bimodal
CH230905,ST,1.5,0,3,1,811.5511,728.2943,multimodal
CH230708,ST,15,0,1,1,718.4315,632.6698,trimodal
CH230800,ST,15,0,2,1,1175.7884,981.6171,bimodal
CH230905,ST,15,0,3,1,811.5511,728.2943,multimodal
CH230708,ST,35,0,1,1,718.4315,632.6698,trimodal
CH230800,ST,35,0,2,1,1175.7884,981.6171,bimodal
CH230905,ST,35,0,3,1,811.5511,728.2943,multimodal
CH230708,ST,Control,0,1,1,718.4315,632.6698,trimodal
CH230800,ST,Control,0,2,1,1175.7884,981.6171,bimodal
CH230905,ST,Control,0,3,1,811.5511,728.2943,multimodal
CH230708,ST,0.75,12,1,1,563.7442,461.9056,unimodal
CH230800,ST,0.75,12,2,1,729.1413,625.8683,trimodal
CH230905,ST,0.75,12,3,1,872.6205,764.8743,bimodal
CH230708,ST,1.5,12,1,1,640.3583,543.5993,unimodal
CH230800,ST,1.5,12,2,1,1038.5117,843.067,trimodal
CH230905,ST,1.5,12,3,1,825.9785,727.6906,trimodal
CH230708,ST,15,12,1,1,561.7514,485.9512,unimodal
CH230800,ST,15,12,2,1,704.8864,581.8652,bimodal
CH230905,ST,15,12,3,1,766.1415,653.0079,bimodal
CH230708,ST,35,12,1,1,561.7124,480.7221,unimodal
CH230800,ST,35,12,2,1,1151.1345,919.0312,multimodal
CH230905,ST,35,12,3,1,836.1733,734.9448,trimodal
CH230708,ST,Control,12,1,1,498.0612,432.7273,unimodal
CH230800,ST,Control,12,2,1,1119.5879,923.2601,bimodal
CH230905,ST,Control,12,3,1,678.9404,587.4027,unimodal
CH230708,ST,0.75,24,1,1,456.1406,372.9136,unimodal
CH230800,ST,0.75,24,2,1,574.9892,494.9177,unimodal
CH230905,ST,0.75,24,3,1,743.1947,636.419,unimodal
CH230708,ST,1.5,24,1,1,650.605,542.7328,unimodal
CH230800,ST,1.5,24,2,1,1000.9675,816.4982,unimodal
CH230905,ST,1.5,24,3,1,781.7796,679.9097,bimodal
CH230708,ST,15,24,1,1,539.9953,463.6365,unimodal
CH230800,ST,15,24,2,1,636.7959,529.4628,unimodal
CH230905,ST,15,24,3,1,617.2787,530.5597,unimodal
CH230708,ST,35,24,1,1,503.0474,435.2566,unimodal
CH230800,ST,35,24,2,1,1016.5725,807.6852,trimodal
CH230905,ST,35,24,3,1,770.368,660.3282,bimodal
CH230708,ST,Control,24,1,1,409.8324,335.4372,unimodal
CH230800,ST,Control,24,2,1,724.7056,626.5195,unimodal
CH230905,ST,Control,24,3,1,592.6952,505.1263,unimodal
CH230708,ST,0.75,48,1,1,517.4719,443.6075,unimodal
CH230800,ST,0.75,48,2,1,424.7697,374.4526,unimodal
CH230905,ST,0.75,48,3,1,511.3856,441.7653,unimodal
CH230708,ST,1.5,48,1,1,624.0663,532.9413,unimodal
CH230800,ST,1.5,48,2,1,728.3719,612.6632,unimodal
CH230905,ST,1.5,48,3,1,496.1554,438.1697,unimodal
CH230708,ST,15,48,1,1,500.9948,431.5232,unimodal
CH230800,ST,15,48,2,1,266.3945,233.498,unimodal
CH230905,ST,15,48,3,1,357.01,305.263,unimodal
CH230708,ST,35,48,1,1,417.5695,363.6305,unimodal
CH230800,ST,35,48,2,1,656.6196,507.8343,unimodal
CH230905,ST,35,48,3,1,430.164,360.1093,unimodal
CH230708,ST,Control,48,1,1,299.5967,260.9709,unimodal
CH230800,ST,Control,48,2,1,631.9831,545.769,unimodal
CH230905,ST,Control,48,3,1,360.6467,312.6536,unimodal
CH230726,TT,15,0,1,1,1131.8941,972.3972,multimodal
CH230809,TT,15,0,2,1,1119.5059,924.0025,trimodal
CH230912,TT,15,0,3,1,999.9207,893.2414,multimodal
CH230726,TT,35,0,1,1,1131.8941,972.3972,multimodal
CH230809,TT,35,0,2,1,1119.5059,924.0025,trimodal
CH230912,TT,35,0,3,1,999.9207,893.2414,multimodal
CH230726,TT,45,0,1,1,1131.8941,972.3972,multimodal
CH230809,TT,45,0,2,1,1119.5059,924.0025,trimodal
CH230912,TT,45,0,3,1,999.9207,893.2414,multimodal
CH230726,TT,5,0,1,1,1131.8941,972.3972,multimodal
CH230809,TT,5,0,2,1,1119.5059,924.0025,trimodal
CH230912,TT,5,0,3,1,999.9207,893.2414,multimodal
CH230726,TT,Control,0,1,1,1131.8941,972.3972,multimodal
CH230809,TT,Control,0,2,1,1119.5059,924.0025,trimodal
CH230912,TT,Control,0,3,1,999.9207,893.2414,multimodal
CH230726,TT,15,12,1,1,1034.8431,872.4603,unimodal
CH230809,TT,15,12,2,1,629.0271,582.8949,trimodal
CH230912,TT,15,12,3,1,773.3592,667.6714,trimodal
CH230726,TT,35,12,1,1,1020.978,886.0085,trimodal
CH230809,TT,35,12,2,1,992.5412,875.1643,multimodal
CH230912,TT,35,12,3,1,944.3453,836.5098,bimodal
CH230726,TT,45,12,1,1,875.763,768.7626,multimodal
CH230809,TT,45,12,2,1,723.2859,690.9249,multimodal
CH230912,TT,45,12,3,1,707.0809,618.7607,trimodal
CH230726,TT,5,12,1,1,821.836,712.2045,trimodal
CH230809,TT,5,12,2,1,1022.4914,847.7786,multimodal
CH230912,TT,5,12,3,1,953.423,818.8744,trimodal
CH230726,TT,Control,12,1,1,759.0945,662.0709,unimodal
CH230809,TT,Control,12,2,1,934.943,800.9913,bimodal
CH230912,TT,Control,12,3,1,931.552,818.6294,trimodal
CH230726,TT,15,24,1,1,1017.4482,865.4082,multimodal
CH230809,TT,15,24,2,1,446.2715,401.7251,trimodal
CH230912,TT,15,24,3,1,659.2627,574.871,bimodal
CH230726,TT,35,24,1,1,995.6764,848.2026,trimodal
CH230809,TT,35,24,2,1,563.2129,514.6592,unimodal
CH230912,TT,35,24,3,1,835.4118,736.9128,multimodal
CH230726,TT,45,24,1,1,541.6845,464.5763,bimodal
CH230809,TT,45,24,2,1,544.7656,509.8744,trimodal
CH230912,TT,45,24,3,1,652.0668,572.8536,unimodal
CH230726,TT,5,24,1,1,604.7619,538.4894,trimodal
CH230809,TT,5,24,2,1,761.886,621.02,trimodal
CH230912,TT,5,24,3,1,862.9419,746.5445,trimodal
CH230726,TT,Control,24,1,1,738.3243,650.0125,unimodal
CH230809,TT,Control,24,2,1,857.8207,755.9526,multimodal
CH230912,TT,Control,24,3,1,648.0453,583.6217,bimodal
CH230726,TT,15,48,1,1,555.2074,485.5459,multimodal
CH230809,TT,15,48,2,1,385.1507,346.5124,bimodal
CH230912,TT,15,48,3,1,588.3075,520.5756,bimodal
CH230726,TT,35,48,1,1,620.6827,561.9334,bimodal
CH230809,TT,35,48,2,1,566.5283,518.5379,bimodal
CH230912,TT,35,48,3,1,580.7336,520.1748,unimodal
CH230726,TT,45,48,1,1,345.7222,302.7143,unimodal
CH230809,TT,45,48,2,1,366.2457,317.663,unimodal
CH230912,TT,45,48,3,1,510.6766,438.9751,unimodal
CH230726,TT,5,48,1,1,421.6303,364.8493,unimodal
CH230809,TT,5,48,2,1,503.0783,419.4444,bimodal
CH230912,TT,5,48,3,1,807.9165,692.5666,unimodal
CH230726,TT,Control,48,1,1,659.008,579.938,unimodal
CH230809,TT,Control,48,2,1,757.7826,671.0571,unimodal
CH230912,TT,Control,48,3,1,637.1131,584.584,bimodal
